"","id","wp","insart_lang","ins_lang","mdbins_von","mdbins_bis","fkt_lang","fktins_von","fktins_bis"
"1","11000001",5,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1965-10-19,1969-10-19,NA,NA,NA
"2","11000001",6,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1969-10-20,1972-09-22,NA,NA,NA
"3","11000001",7,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1972-12-13,1976-12-13,NA,NA,NA
"4","11000001",8,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1976-12-14,1980-11-04,NA,NA,NA
"5","11000001",9,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1980-11-04,1983-03-29,NA,NA,NA
"6","11000001",10,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1983-03-29,1987-02-18,NA,NA,NA
"7","11000001",11,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1987-02-18,1990-12-20,NA,NA,NA
"8","11000002",3,"Fraktion/Gruppe","Fraktion der Freien Demokratischen Partei",1957-10-15,1961-10-15,NA,NA,NA
"9","11000002",4,"Fraktion/Gruppe","Fraktion der Freien Demokratischen Partei",1961-10-17,1965-10-17,NA,NA,NA
"10","11000002",5,"Fraktion/Gruppe","Fraktion der Freien Demokratischen Partei",1965-10-19,1969-10-19,NA,NA,NA
"11","11000002",6,"Fraktion/Gruppe","Fraktion der Freien Demokratischen Partei",1969-10-20,1972-09-22,NA,NA,NA
"12","11000002",7,"Fraktion/Gruppe","Fraktion der Freien Demokratischen Partei",1972-12-13,1976-12-13,NA,NA,NA
"13","11000003",2,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1953-10-06,1957-10-06,NA,NA,NA
"14","11000003",3,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1957-10-15,1961-10-15,NA,NA,NA
"15","11000003",4,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1965-01-16,1965-10-17,NA,NA,NA
"16","11000004",11,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1990-10-03,1990-12-20,NA,NA,NA
"17","11000004",12,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1991-10-22,1994-11-10,NA,NA,NA
"18","11000005",12,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1990-12-20,1994-11-10,"Vorstandsmitglied",1990-12-20,1994-11-10
"19","11000005",13,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1994-11-10,1998-10-26,NA,NA,NA
"20","11000005",14,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1998-10-26,2002-10-17,NA,NA,NA
"21","11000005",15,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",2002-10-17,2005-10-18,NA,NA,NA
"22","11000005",16,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",2005-10-18,2009-10-27,NA,NA,NA
"23","11000007",5,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1966-12-08,1969-10-19,NA,NA,NA
"24","11000007",6,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1969-10-20,1972-09-22,NA,NA,NA
"25","11000007",7,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1972-12-13,1976-12-13,NA,NA,NA
"26","11000007",8,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1976-12-14,1980-11-04,NA,NA,NA
"27","11000008",3,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1957-10-15,1961-10-15,NA,NA,NA
"28","11000009",1,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1949-09-07,1953-09-07,NA,NA,NA
"29","11000009",2,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1953-10-06,1957-10-06,NA,NA,NA
"30","11000009",3,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1957-10-15,1961-10-15,NA,NA,NA
"31","11000009",4,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1961-10-17,1965-10-17,NA,NA,NA
"32","11000009",5,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1965-10-19,1967-04-19,NA,NA,NA
"33","11000010",11,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1987-02-18,1990-12-20,NA,NA,NA
"34","11000010",12,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1990-12-20,1994-11-10,NA,NA,NA
"35","11000010",13,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1994-11-10,1998-10-26,NA,NA,NA
"36","11000010",14,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1998-10-26,2002-10-17,NA,NA,NA
"37","11000011",4,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1961-10-17,1965-10-17,NA,NA,NA
"38","11000011",5,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1965-10-19,1969-10-19,NA,NA,NA
"39","11000011",6,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1969-10-20,1972-08-21,NA,NA,NA
"40","11000012",8,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1976-12-14,1980-11-04,NA,NA,NA
"41","11000012",9,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1980-11-04,1983-03-29,NA,NA,NA
"42","11000013",1,"Fraktion/Gruppe","Fraktion der Kommunistischen Partei Deutschlands",1949-09-07,1953-09-07,NA,NA,NA
"43","11000014",7,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1972-12-13,1976-12-13,NA,NA,NA
"44","11000014",8,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1976-12-14,1980-03-07,NA,NA,NA
"45","11000015",1,"Fraktion/Gruppe","Fraktion Deutsche Partei",1949-09-07,1953-09-07,NA,NA,NA
"46","11000016",5,"Fraktion/Gruppe","Fraktion der SPD (Gast)",1965-10-19,1969-10-19,NA,NA,NA
"47","11000017",6,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1969-10-20,1972-09-22,NA,NA,NA
"48","11000017",7,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1972-12-13,1976-12-13,NA,NA,NA
"49","11000017",8,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1976-12-14,1980-11-04,NA,NA,NA
"50","11000017",9,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1980-11-04,1983-03-29,NA,NA,NA
"51","11000017",10,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1983-03-29,1987-02-18,NA,NA,NA
"52","11000017",11,"Fraktion/Gruppe","Fraktion der Sozialdemokratischen Partei Deutschlands",1987-02-18,1990-12-20,NA,NA,NA
"53","11000018",3,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1957-10-15,1961-10-15,NA,NA,NA
"54","11000018",4,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1961-10-17,1965-10-17,NA,NA,NA
"55","11000018",5,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1965-10-19,1969-10-19,NA,NA,NA
"56","11000018",6,"Fraktion/Gruppe","Fraktion der Christlich Demokratischen Union/Christlich - Sozialen Union",1969-10-20,1972-09-22,NA,NA,NA
